Tick,Alive
0,135443893
1,227359092
2,289774022
3,337230405
4,363183109
5,378307821
6,385902251
7,388965768
8,390512690
9,392021240
10,392726121
11,392069979
12,392539309
13,392759696
14,392981306
15,392696794
16,392397394
17,392204921
18,392471470
19,391735007
20,392656145
21,393016523
22,393252053
23,392408629
24,392999257
25,392864840
26,392215780
27,393260593
28,392536656
29,392992815
30,393121606
31,393159345
32,392940420
33,392255848
34,392754397
35,393013166
36,392299427
37,392586549
38,392199112
39,392651288
40,392412519
41,393265846
42,392697602
43,391923850
44,392488618
45,392712834
46,392261794
47,391716861
48,392554675
49,392382996
50,392182726
51,392811493
52,392444342
53,393617104
54,393103626
55,392688684
56,392603662
57,393038312
58,393112024
59,392656539
60,392826753
61,392700630
62,392461739
63,392725108
64,392321101
65,392045881
66,392048221
67,393562798
68,392704421
69,392740284
70,392456852
71,393623645
72,392995051
73,393512987
74,392966944
75,391925110
76,392189500
77,392318201
78,392091476
79,392669318
80,392539587
81,392261569
82,392453861
83,392014242
84,392191290
85,391317631
86,392424999
87,392861755
88,392719927
89,392660984
90,392407987
91,392180867
92,392524687
93,392768078
94,392553857
95,391499783
96,392513655
97,391990557
98,391828164
99,392436126
100,392810782
101,392711137
102,392526772
103,391959091
104,392736391
105,391903173
106,392386091
107,392775478
108,392043634
109,392265900
110,393202636
111,392691507
112,392467308
113,392693087
114,393803290
115,393379765
116,393453543
117,392521126
118,392603105
119,392663558
120,392411343
121,391628281
122,392646497
123,392401620
124,393294119
125,391607540
126,392781694
127,392807711
128,391747128
129,392299201
130,392284975
131,392337556
132,391282238
133,392397774
134,393294749
135,392719487
136,393097240
137,392180902
138,391576837
139,392281390
140,392555231
141,392266671
142,392020136
143,392943945
144,392694868
145,392352119
146,392689855
147,392498420
148,392216989
149,392487870
150,392517114
151,391277488
152,392667737
153,392207555
154,391872630
155,392442174
156,392747389
157,392189167
158,392440739
159,392320611
160,393251960
161,392512965
162,392759148
163,392220573
164,392547580
165,392490445
166,393110824
167,393060384
168,392308238
169,392535912
170,392834367
171,392550941
172,393005998
173,392351739
174,392325678
175,392085738
176,392458304
177,392361861
178,392346602
179,392832557
180,392507175
181,392644745
182,393089766
183,392390096
184,392161002
185,392539183
186,391984063
187,392459824
188,392922577
189,392813920
190,393087223
191,393297334
192,391937615
193,392613214
194,392411709
195,392746025
196,391593125
197,391960043
198,392572894
199,393185403
200,393679561
201,393082508
202,392846340
203,392267076
204,392180295
205,391970726
206,392795295
207,391809383
208,393283074
209,393221115
210,393006047
211,390887980
212,392330086
213,392694012
214,392334139
215,392144344
216,393091292
217,393708839
218,393417596
219,392871890
220,393185917
221,393017874
222,392477296
223,392911458
224,392779452
225,391884318
226,391725912
227,392167745
228,392095641
229,393285762
230,392729431
231,393483964
232,393048245
233,392365289
234,392579733
235,393076209
236,392827296
237,392476829
238,393414679
239,392313523
240,392400068
241,393154890
242,391915093
243,392334831
244,392961237
245,392661546
246,391917327
247,392699638
248,392921175
249,393981923
250,393428832
251,391271941
252,392879040
253,392854820
254,392129869
255,392755221
