Tick,Alive
0,135443893
1,227359017
2,289773921
3,337230321
4,363182984
5,378307778
6,385902117
7,388965875
8,390512735
9,392021335
10,392726404
11,392070281
12,392539170
13,392759497
14,392981724
15,392696834
16,392397587
17,392204999
18,392471870
19,391734273
20,392656076
21,393016369
22,393251770
23,392408159
24,393000102
25,392865065
26,392215568
27,393260016
28,392536541
29,392993388
30,393121154
31,393160679
32,392939140
33,392254966
34,392755252
35,393013146
36,392300840
37,392584661
38,392198653
39,392651767
40,392412005
41,393265357
42,392698062
43,391924533
44,392488588
45,392714656
46,392260727
47,391717514
48,392554601
49,392383281
50,392180954
51,392812509
52,392445171
53,393618525
54,393104026
55,392689670
56,392602248
57,393037162
58,393111339
59,392657407
60,392824982
61,392702471
62,392462941
63,392724816
64,392322116
65,392045046
66,392046628
67,393564102
68,392703287
69,392739565
70,392456162
71,393623731
72,392996295
73,393511634
74,392966178
75,391926178
76,392189762
77,392318008
78,392091550
79,392669291
80,392540499
81,392261327
82,392453989
83,392012577
84,392189400
85,391320045
86,392427011
87,392861886
88,392719516
89,392662075
90,392408367
91,392178950
92,392524333
93,392768498
94,392552533
95,391498668
96,392512779
97,391990260
98,391825087
99,392436247
100,392809505
101,392711060
102,392526878
103,391961478
104,392740313
105,391903520
106,392386124
107,392778313
108,392042889
109,392266702
110,393201842
111,392691441
112,392469177
113,392692254
114,393802132
115,393381941
116,393452239
117,392517301
118,392601940
119,392663940
120,392406733
121,391630060
122,392645037
123,392401713
124,393297236
125,391608093
126,392784633
127,392809742
128,391745921
129,392299100
130,392282736
131,392336601
132,391282896
133,392397849
134,393294279
135,392718512
136,393096365
137,392178822
138,391577083
139,392281436
140,392554812
141,392265933
142,392023968
143,392941962
144,392696351
145,392350198
146,392690533
147,392498966
148,392217514
149,392491500
150,392516995
151,391277524
152,392667960
153,392203462
154,391872449
155,392439768
156,392745617
157,392192610
158,392438820
159,392320882
160,393252411
161,392513109
162,392758324
163,392222314
164,392546415
165,392489905
166,393112552
167,393061638
168,392304124
169,392531522
170,392833683
171,392548709
172,393003648
173,392349200
174,392328406
175,392083252
176,392458691
177,392359717
178,392346268
179,392831276
180,392510743
181,392645927
182,393087131
183,392388162
184,392158149
185,392538604
186,391987305
187,392457509
188,392925967
189,392818788
190,393087113
191,393296377
192,391937933
193,392610555
194,392411869
195,392749445
196,391595290
197,391961901
198,392571557
199,393186868
200,393677971
201,393081786
202,392848009
203,392265216
204,392183082
205,391969336
206,392795362
207,391810881
208,393287011
209,393219867
210,393006518
211,390888306
212,392330935
213,392695769
214,392334661
215,392142495
216,393087445
217,393707615
218,393416006
219,392868176
220,393182107
221,393018002
222,392482632
223,392912100
224,392776732
225,391881916
226,391724358
227,392169169
228,392094354
229,393290661
230,392730064
231,393481496
232,393047888
233,392366424
234,392579978
235,393077503
236,392827583
237,392470448
238,393414240
239,392313557
240,392405292
241,393157003
242,391912643
243,392339773
244,392963865
245,392664312
246,391919396
247,392701794
248,392918626
249,393984096
250,393429527
251,391271967
252,392882631
253,392855338
254,392129486
255,392752783
