Tick,Alive
0,135443893
1,227359018
2,289773923
3,337230321
4,363182986
5,378307768
6,385902139
7,388965880
8,390512742
9,392021358
10,392726399
11,392070276
12,392539152
13,392759482
14,392981743
15,392696807
16,392397614
17,392204995
18,392471827
19,391734273
20,392656062
21,393016397
22,393251735
23,392408105
24,393000129
25,392865035
26,392215583
27,393260075
28,392536551
29,392993462
30,393121159
31,393160687
32,392939230
33,392254809
34,392755274
35,393013151
36,392300824
37,392584676
38,392198594
39,392651687
40,392412009
41,393265322
42,392698070
43,391924437
44,392488637
45,392714711
46,392260725
47,391717551
48,392554552
49,392383274
50,392180926
51,392812390
52,392445336
53,393618659
54,393104111
55,392689728
56,392602099
57,393037010
58,393111329
59,392657409
60,392825053
61,392702480
62,392462956
63,392724700
64,392322374
65,392045152
66,392046815
67,393564242
68,392703179
69,392739646
70,392455914
71,393623902
72,392996235
73,393511512
74,392966378
75,391926416
76,392189558
77,392317687
78,392091129
79,392669253
80,392540370
81,392261222
82,392453854
83,392012492
84,392189313
85,391320020
86,392426921
87,392861987
88,392719389
89,392662097
90,392408218
91,392178751
92,392524280
93,392768591
94,392552634
95,391498614
96,392512598
97,391989544
98,391824984
99,392436056
100,392809294
101,392711003
102,392526722
103,391961364
104,392740134
105,391903154
106,392386338
107,392778534
108,392042816
109,392266656
110,393201643
111,392691219
112,392468970
113,392692033
114,393802193
115,393382053
116,393452274
117,392517604
118,392601940
119,392663824
120,392406869
121,391630363
122,392644853
123,392401452
124,393297681
125,391608377
126,392785137
127,392809575
128,391746292
129,392299497
130,392283010
131,392337199
132,391282609
133,392397782
134,393294955
135,392718597
136,393096547
137,392178743
138,391577181
139,392282133
140,392554848
141,392265719
142,392023975
143,392943041
144,392696207
145,392350001
146,392690806
147,392498989
148,392217936
149,392491626
150,392517163
151,391277303
152,392668290
153,392204081
154,391871962
155,392439787
156,392745463
157,392192149
158,392439022
159,392320605
160,393252881
161,392512730
162,392758091
163,392222616
164,392547344
165,392490613
166,393112448
167,393061677
168,392304513
169,392531436
170,392834087
171,392548956
172,393003910
173,392349470
174,392328010
175,392083518
176,392458356
177,392359545
178,392345905
179,392830924
180,392510268
181,392645718
182,393087147
183,392388388
184,392158145
185,392539291
186,391987213
187,392457084
188,392925505
189,392818206
190,393086895
191,393295591
192,391937259
193,392611425
194,392411949
195,392748791
196,391594690
197,391961898
198,392572018
199,393186552
200,393679084
201,393081754
202,392847848
203,392264880
204,392183145
205,391968581
206,392794859
207,391810657
208,393286365
209,393219621
210,393007706
211,390888393
212,392330716
213,392695770
214,392334707
215,392141766
216,393086870
217,393707359
218,393415855
219,392867867
220,393182159
221,393019387
222,392480980
223,392912561
224,392776717
225,391882146
226,391723591
227,392169776
228,392093725
229,393291195
230,392729324
231,393481924
232,393048386
233,392365670
234,392579346
235,393077503
236,392827676
237,392470311
238,393414416
239,392313417
240,392405743
241,393156699
242,391912006
243,392338610
244,392963654
245,392664927
246,391921506
247,392702895
248,392919538
249,393985190
250,393429718
251,391272020
252,392883039
253,392855953
254,392129635
255,392752437
