Tick,Alive
0,403720829
1,484348238
2,485775379
3,485991944
4,485473495
5,485558394
6,485608448
7,485694279
8,485798541
9,485903044
10,485327123
11,486104405
12,485308536
13,485803284
14,485436177
15,484961016
16,486038247
17,485676111
18,485413659
19,485328109
20,485170624
21,485519709
22,486651002
23,485303703
24,485622511
25,485446972
26,485362885
27,484933824
28,485994161
29,485545018
30,485510949
31,485677952
32,485514075
33,486755985
34,485435219
35,485798086
36,485439834
37,486330289
38,484590289
39,485318555
40,485980325
41,485600332
42,485304442
43,485962160
44,486841851
45,485253640
46,485060242
47,485953183
48,485516902
49,485072270
50,485321170
51,485695354
52,485536215
53,485813990
54,485610782
55,486197874
56,485415099
57,485601735
58,485504009
59,485587803
60,485882660
61,485897201
62,485265955
63,485295593
64,485216566
65,485770166
66,485680647
67,485525620
68,485834416
69,485425205
70,485623837
71,484571738
72,485508700
73,485672568
74,485726823
75,485123358
76,486054767
77,485594268
78,485672931
79,485084051
80,485713460
81,485228959
82,486138145
83,484881803
84,485613460
85,485045016
86,485634688
87,486202571
88,485007194
89,486833542
90,485045839
91,485291767
92,485643211
93,484602424
94,485621753
95,486266890
96,485464023
97,485082928
98,485631741
99,485352399
100,484465635
101,486234703
102,485176023
103,485845193
104,486793707
105,485901627
106,485949628
107,485726172
108,485552762
109,485233433
110,485077191
111,485413849
112,485525720
113,485279233
114,486539797
115,486002277
116,486117790
117,484724772
118,485292725
119,485432936
120,485562743
121,485624044
122,485688319
123,485892330
124,484968780
125,486044659
126,486020696
127,486337467
128,484988325
129,485705117
130,485899061
131,485158395
132,486050800
133,485386326
134,486062405
135,484819221
136,485995101
137,486252788
138,485772246
139,486192948
140,485169777
141,485155414
142,485584839
143,484466655
144,486918681
145,485636500
146,485479106
147,484996161
148,485426577
149,486552615
150,484927143
151,485532877
152,484826198
153,486095042
154,485742780
155,485628069
156,485250976
157,485796842
158,485477885
159,486209973
160,485930075
161,485850301
162,484546067
163,485163060
164,484891277
165,485811029
166,485321274
167,485762616
168,484794335
169,485990353
170,484794354
171,485834502
172,485632016
173,485621044
174,485556570
175,486420936
176,484909907
177,485538107
178,485264765
179,485791314
180,485666281
181,485691116
182,485249946
183,485589373
184,485470969
185,485383998
186,485305070
187,486000624
188,485252346
189,485685517
190,485604197
191,485378754
192,486255492
193,486260259
194,485169058
195,485392410
196,485662604
197,485612684
198,486035048
199,484797625
200,484807925
201,486250010
202,485773756
203,485759153
204,485220423
205,485417261
206,486074144
207,485776340
208,486134904
209,485831018
210,485388592
211,484299773
212,485170824
213,485154435
214,486074812
215,486186401
216,485461714
217,487374264
218,484976481
219,485811904
220,486186387
221,485604353
222,485859785
223,485858548
224,485593706
225,486148546
226,485184164
227,485280144
228,485800308
229,485588228
230,486249472
231,484386576
232,485714178
233,485773432
234,485495872
235,485843936
236,486271373
237,485535642
238,485298831
239,486116972
240,485981006
241,486006970
242,486083027
243,486013713
244,485685130
245,484667008
246,485421640
247,485823242
248,486167211
249,485097515
250,485649095
251,485303197
252,485793229
253,485182025
254,485300853
255,485645455
