Tick,Alive
0,135443893
1,227359015
2,289773920
3,337230319
4,363182977
5,378307769
6,385902124
7,388965866
8,390512739
9,392021328
10,392726425
11,392070279
12,392539170
13,392759492
14,392981833
15,392696819
16,392397536
17,392204985
18,392471838
19,391734260
20,392655948
21,393016328
22,393251762
23,392408243
24,393000094
25,392865015
26,392215574
27,393260256
28,392536461
29,392993284
30,393121178
31,393160440
32,392939017
33,392254889
34,392755578
35,393013275
36,392300945
37,392584646
38,392198585
39,392651595
40,392412101
41,393265295
42,392698221
43,391924235
44,392488892
45,392714543
46,392260594
47,391716971
48,392554686
49,392383335
50,392181014
51,392812353
52,392445488
53,393618891
54,393103916
55,392689586
56,392602099
57,393036957
58,393111093
59,392657208
60,392825372
61,392702633
62,392462920
63,392724680
64,392322152
65,392045150
66,392046709
67,393564414
68,392703394
69,392740073
70,392456612
71,393623716
72,392996602
73,393511678
74,392966316
75,391925870
76,392189005
77,392318151
78,392091124
79,392669207
80,392540990
81,392261237
82,392453847
83,392012969
84,392189881
85,391319484
86,392427371
87,392861932
88,392719025
89,392661660
90,392408306
91,392179369
92,392524525
93,392768480
94,392552542
95,391499335
96,392512101
97,391990224
98,391824606
99,392436776
100,392809585
101,392710423
102,392527667
103,391961689
104,392739682
105,391903743
106,392385160
107,392777821
108,392042058
109,392266288
110,393201969
111,392690862
112,392469308
113,392691917
114,393802716
115,393382061
116,393452076
117,392518240
118,392602485
119,392663346
120,392407941
121,391629618
122,392646050
123,392401226
124,393296142
125,391607489
126,392782829
127,392809311
128,391746199
129,392299355
130,392282500
131,392336184
132,391283567
133,392398127
134,393294976
135,392719832
136,393096668
137,392178003
138,391576460
139,392280505
140,392554514
141,392266642
142,392022778
143,392942063
144,392696016
145,392351429
146,392690331
147,392498048
148,392219097
149,392489700
150,392517692
151,391277358
152,392667746
153,392203552
154,391872554
155,392440699
156,392746107
157,392192929
158,392439614
159,392322128
160,393254653
161,392512614
162,392758811
163,392223005
164,392546048
165,392488651
166,393112373
167,393061910
168,392306655
169,392532121
170,392833959
171,392548653
172,393003882
173,392349291
174,392329682
175,392083497
176,392459047
177,392361936
178,392346331
179,392832682
180,392511868
181,392646073
182,393087357
183,392388793
184,392158451
185,392539590
186,391986348
187,392458446
188,392927090
189,392818282
190,393087936
191,393297392
192,391936597
193,392609935
194,392411531
195,392752282
196,391594693
197,391962704
198,392572040
199,393186946
200,393679137
201,393082091
202,392847100
203,392266373
204,392182513
205,391967408
206,392791780
207,391811242
208,393287108
209,393221108
210,393006896
211,390888830
212,392330155
213,392696347
214,392336365
215,392141535
216,393088388
217,393707324
218,393415605
219,392870462
220,393182975
221,393017118
222,392483267
223,392912847
224,392778094
225,391881561
226,391727020
227,392169381
228,392095993
229,393290285
230,392728328
231,393482613
232,393046332
233,392364841
234,392580065
235,393077081
236,392826675
237,392468927
238,393415221
239,392313624
240,392403263
241,393156777
242,391911420
243,392339060
244,392963022
245,392662882
246,391920184
247,392699672
248,392920978
249,393982365
250,393424744
251,391269950
252,392879705
253,392854707
254,392128110
255,392753461
