Tick,Alive
0,269534125
1,396057016
2,431353004
3,440117279
4,440318082
5,441822822
6,441718042
7,441936314
8,441845828
9,442106386
10,442218866
11,442195316
12,441584308
13,442708866
14,442614767
15,441075639
16,441850403
17,442338001
18,441485347
19,441408841
20,442540227
21,441354107
22,441101705
23,441425647
24,442005570
25,441906967
26,441648260
27,441285279
28,442526197
29,442535137
30,441477247
31,442214663
32,441740656
33,442317388
34,441463859
35,442070098
36,441857268
37,442035676
38,441309761
39,442521549
40,441266914
41,441203481
42,442494765
43,441746616
44,441424431
45,442388600
46,441901260
47,442436673
48,441999037
49,442649287
50,442863513
51,443340884
52,442107861
53,441198820
54,442258577
55,441691074
56,442099202
57,442390921
58,442499242
59,441595110
60,440977035
61,442721074
62,441183972
63,442273973
64,441705275
65,441567066
66,442300984
67,441437337
68,442461223
69,441698656
70,441606412
71,440239242
72,442002094
73,442473224
74,442084773
75,442833333
76,441207184
77,440543683
78,442082481
79,442376542
80,441674357
81,442320851
82,442265038
83,441645893
84,441656824
85,442221189
86,441467983
87,441744149
88,440980143
89,442166377
90,441740097
91,441340470
92,442115195
93,441268189
94,442017186
95,442895109
96,441355810
97,443035132
98,441276304
99,441269397
100,441479114
101,442036283
102,442030069
103,441809078
104,442665613
105,442377902
106,440403981
107,441232895
108,440871924
109,442266215
110,442019156
111,442268708
112,441740874
113,442063229
114,442197700
115,441238847
116,441367903
117,442194040
118,442130900
119,443579577
120,441736227
121,441239127
122,441610971
123,441614930
124,441961864
125,441923014
126,442003559
127,441880081
128,442938889
129,442008689
130,441866281
131,442073613
132,442342418
133,440498427
134,442146070
135,441578794
136,441797621
137,441283024
138,441473566
139,441637720
140,441119196
141,441322951
142,441879538
143,442331673
144,441002736
145,441497344
146,442005244
147,442620294
148,441086119
149,442306885
150,441381544
151,442042503
152,442212009
153,442300432
154,441683678
155,442931681
156,441334682
157,440878324
158,441893890
159,442626020
160,442353019
161,441745647
162,442089448
163,441623805
164,442138056
165,442463708
166,441455428
167,442728684
168,442203512
169,441678581
170,442431053
171,442294656
172,441822000
173,442377547
174,441968072
175,441760908
176,441619463
177,441343178
178,441767407
179,441045645
180,441417223
181,442116863
182,442083933
183,442238684
184,441447400
185,441810835
186,442710273
187,441716384
188,441769601
189,441582876
190,441511422
191,441713149
192,442644957
193,441670192
194,441730680
195,440872995
196,442219690
197,440970452
198,442212612
199,441626282
200,442032823
201,441914192
202,442395746
203,441960150
204,441486569
205,442410782
206,442218652
207,441835769
208,441014674
209,442715114
210,441708159
211,441569397
212,442702899
213,442991533
214,442656079
215,442205688
216,442868635
217,442211260
218,442463294
219,442131856
220,441944332
221,441328273
222,442412828
223,442290791
224,443078786
225,441893076
226,442126241
227,441738542
228,442959570
229,442503576
230,442064868
231,441701043
232,442543958
233,442300607
234,442491501
235,441911738
236,442017844
237,440772555
238,441230210
239,442609817
240,441482166
241,442247961
242,440931962
243,441632947
244,441887836
245,441683342
246,441272579
247,441430967
248,441637329
249,442493333
250,441854336
251,442065405
252,441513615
253,442391549
254,442162391
255,441423536
